views,comments,shares,likes,duration,captions,hashtags,created_at
257٫9,111,782,37٫8,6,Taggate le vostre compagne #foryoupage #foryou #videolezioni #comic #ironia,"foryoupage, foryou, videolezioni, comic, ironia",12/16/2020
271٫5,100,488,34٫1,14,Tagga i tuoi amici #foryoupage #foryou #comic #console #rap,"foryoupage, foryou, comic, console, rap",12/16/2020
178٫4,73,220,17٫1,8,#duetto con @vcruzzs #foryoupage #foryou #comic,"duetto, foryoupage, foryou, comic",12/15/2020
178٫6,160,62,18٫3,15,Gg Brother#foryoupage #foryou #trend #comic #brother ￼,"foryoupage, foryou, trend, comic, brother",12/15/2020
325٫3,170,251,55٫6,9,"Questo video è per  voi due ,leggende  #foryoupage #foryou #paolorossi #maradona","foryoupage, foryou, paolorossi, maradona",12/15/2020
228٫2,198,1٫159,31٫3,15,La persona dopo la @ ti dovrà comprare la ps5#foryoupage #comic #ps5 #run,"foryoupage, comic, ps5, run",12/15/2020
331٫9,1٫154,1٫846,34٫4,6,#stitch con @meiyubee #foryoupage #comic #foryou,"stitch, foryoupage, comic, foryou",12/14/2020
495٫6,555,1٫365,82٫6,10,La persona dopo la@ e tua madre #foryoupage #comic #mamma #crush,"foryoupage, comic, mamma, crush",12/14/2020
"1,400,000",826,9٫308,257٫2,25,Verità ?#foryoupage #comic #foryou #verita,"foryoupage, comic, foryou, verita",12/14/2020
176٫1,208,129,18٫4,14,La rivista si chiama DLUI#foryoupage #comic #foryou #modello @letiziaschatzinger,"foryoupage, comic, foryou, modello",12/13/2020
287٫5,187,1٫055,38٫5,8,#stitch con @screwballjoe #foryoupage #comic #police #america,"stitch, foryoupage, comic, police, america",12/13/2020
212٫6,80,193,24٫9,9,sempre la stessa storia #camper #foryoupage #foryou #comic #game,"camper, foryoupage, foryou, comic, game",12/13/2020
432٫7,418,1٫224,70٫9,13,#stitch con @juliafox038711 #greenscreen #foryoupage #foryou,"stitch, greenscreen, foryoupage, foryou",12/12/2020
216٫4,108,347,24٫9,13,Tagga la tua crush (Se non ce l’hai tagga me )#foryoupage #foryou #comic #ironia,"foryoupage, foryou, comic, ironia",12/12/2020
279٫4,204,510,43٫3,10,Tagga la tua amica bionda #foryoupage #foryou #comic #ironia,"foryoupage, foryou, comic, ironia",12/11/2020
251٫3,87,55,29٫1,8,Quale la cosa più brutta del 2020 secondo voi #jumanjichallenge @marcofiladelfia_official,jumanjichallenge,12/11/2020
244٫2,124,913,32٫9,14,Tagga i tuoi compagni di classe #school #foryoupage #foryou #comic #compagni,"school, foryoupage, foryou, comic, compagni",12/10/2020
466٫2,150,599,66٫7,8,La play nuova non si tocca #foryoupage #foryou #comic #ps5,"foryoupage, foryou, comic, ps5",12/10/2020
219٫9,117,77,25٫9,7,Quando fai di tutto per uscire nei per te #foryoupage #foryou #comic,"foryoupage, foryou, comic",12/9/2020
381٫2,281,292,57٫4,11,La persona dopo la @ ti deve 5€#foryoupage #foryou #comic,"foryoupage, foryou, comic",12/9/2020
187٫2,93,199,21٫2,9,La persona dopo la @ ti deve offrire al Mc #foryoupage #comic #ironia,"foryoupage, comic, ironia",12/8/2020
214,122,218,29,13,La persona dopo la @ e tua madre in realtà #foryoupage #comic #foryou #mamma,"foryoupage, comic, foryou, mamma",12/8/2020
290,150,225,45٫1,21,La persona dopo la @ vi deve comprare le caramelle #foryoupage #comic #greenscreen,"foryoupage, comic, greenscreen",12/8/2020
186٫1,283,127,21٫5,4,Sono simpatico anche su Instagram😔#foryoupage #foryou #instagram #comic,"foryoupage, foryou, instagram, comic",12/7/2020
205٫8,338,317,23٫5,28,la persona dopo la @ ti deve portare al cinema #foryoupage #foryou #comic #dragonball,"foryoupage, foryou, comic, dragonball",12/7/2020
226٫3,122,231,29٫2,12,La persona dopo la @ e il tuo parrucchiere #foryoupage #foryou #comic,"foryoupage, foryou, comic",12/7/2020
227٫5,162,510,27٫8,8,Bro ma cosa dici hahah  #foryoupage #foryou #comic,"foryoupage, foryou, comic",12/5/2020
473٫9,141,154,79٫4,22,#duetto con @esportpalace #foryoupage #foryou,"duetto, foryoupage, foryou",12/5/2020
296٫1,265,606,25٫2,11,#stitch con @lyrea_as #foryoupage #foryou #comic #latte,"stitch, foryoupage, foryou, comic, latte",12/5/2020
401٫5,314,804,65٫1,14,Premessa non tutte le ragazze sono così #foryoupage #foryou #comic #ironiaa,"foryoupage, foryou, comic, ironiaa",12/4/2020
429٫9,275,605,61٫1,13,Sempre così poi non andavi da nessuna parte #foryoupage #foryou #comic,"foryoupage, foryou, comic",12/4/2020
339٫7,196,336,30٫1,9,#stitch con @parrkerrrrr #greenscreen sarò l’unica che vede quello #foryoupage #foryou #comic,"stitch, greenscreen, foryoupage, foryou, comic",12/4/2020
