views,comments,shares,likes,duration,captions,hashtags,created_at
483٫1,3٫059,299,73٫5,9,finalmente il verificato mi viene da piangere solo merito vostro grazie #foryoupage #foryou #comic #verificato,"foryoupage, foryou, comic, verificato",10/14/2020
673,488,4٫176,116٫7,11,La persona dopo la @ ti ruberà la crush #foryou #foryoupage #comic #ironia #crush,"foryou, foryoupage, comic, ironia, crush",10/14/2020
220٫7,103,342,34٫9,9,La persona dopo la la @ si perderà con te #foryou #foryoupage #comic #ironia #polizia,"foryou, foryoupage, comic, ironia, polizia",10/13/2020
207٫9,144,136,32٫6,9,Questa è per pochi #foryou #foryoupage #comic #ironia #itachi,"foryou, foryoupage, comic, ironia, itachi",10/13/2020
200٫1,55,355,33٫8,7,Mia madre lo avrebbe preso #mamma #foryoupage #foryou #comic #ironia,"mamma, foryoupage, foryou, comic, ironia",10/13/2020
169,110,92,27٫9,12,io non ce lo fatta troppi ricordi voi la venderete ? #ritornerai2 @random_solo #greenscreen #ps4#foryoupage #foryou,"ritornerai2, greenscreen, ps4, foryoupage, foryou",10/12/2020
227٫2,389,1٫349,37٫3,15,tagga una tuo amico di giochi #foryou ##foryoupage #ps4 #ansia #1v1,"foryou, foryoupage, ps4, ansia, 1v1",10/12/2020
167٫7,81,210,25٫1,9,Mi dissocio #foryou #foryoupage #comic #ironia #tiktok,"foryou, foryoupage, comic, ironia, tiktok",10/11/2020
281,300,96,33٫6,12,Dal vostro sergente e tutto #foryou #foryoupage #trend #comic,"foryou, foryoupage, trend, comic",10/11/2020
171٫2,112,291,29٫2,9,La persona dopo la @ sarà la tua crush #foryou #foryoupage #comic #ironia #foryou,"foryou, foryoupage, comic, ironia, foryou",10/10/2020
203٫7,166,390,36٫4,15,La persona dopo la @ ti nasconde qualcosa #greenscreen #nopressure #covid #foryou #foryoupage #comic,"greenscreen, nopressure, covid, foryou, foryoupage, comic",10/10/2020
191٫2,72,140,33٫8,13,#vabene #sercho@sesesercho #foryoupage #foryou #comic #blackhumor,"vabene, sercho, foryoupage, foryou, comic, blackhumor",10/9/2020
324٫8,432,2٫726,59٫4,15,La persona dopo la @ ti deve un menu al mc #nopressure #dragonball #foryoupage #foryou #comic #ironia,"nopressure, dragonball, foryoupage, foryou, comic, ironia",10/9/2020
361٫1,222,1٫601,61٫1,15,Chi è più infame di loro #foryoupage #foryou #comic #ironia #scuola #6ix9ine,"foryoupage, foryou, comic, ironia, scuola, 6ix9ine",10/8/2020
388٫8,367,1٫2,68٫7,15,Chi è più veloce di loro ?#foryoupage #foryou #comic #ironia #ilpiuveloce,"foryoupage, foryou, comic, ironia, ilpiuveloce",10/8/2020
563٫7,439,1٫918,77٫2,15,Chi è più tosto di loro ?#nopressure #foryoupage #foryou #comic #ironia #tosto,"nopressure, foryoupage, foryou, comic, ironia, tosto",10/7/2020
160٫7,92,502,23٫1,8,#duetto con @tysoooo #greenscreen #foryou #foryoupage #comic #amongus dovevo farlo,"duetto, greenscreen, foryou, foryoupage, comic, amongus",10/7/2020
152٫5,115,288,22٫8,14,La persona dopo la  @ ti tradirà #foryou #foryoupage #crush #comic #ironia,"foryou, foryoupage, crush, comic, ironia",10/7/2020
165٫9,149,528,28,9,La persona dopo la @ è tua madre #greenscreen #foryou #foryoupage #comic #mamma,"greenscreen, foryou, foryoupage, comic, mamma",10/6/2020
142٫5,88,110,21٫5,9,La persona dopo la @ dovrà guardare un horror con te #greenscreen #foryoupage #foryou #comic #horror,"greenscreen, foryoupage, foryou, comic, horror",10/6/2020
134٫8,122,195,19٫5,15,La persona dopo la @ è Trump#greenscreen #foryoupage #foryou #comic #donaldtrump,"greenscreen, foryoupage, foryou, comic, donaldtrump",10/5/2020
709,491,2٫412,98٫8,5,La persona dopo la la @ ti vuole rubare la crush #nopressure #foryoupage #foryou #comic #ironia #ragazzosenzioso,"nopressure, foryoupage, foryou, comic, ironia, ragazzosenzioso",10/5/2020
191٫2,193,1٫073,31٫8,7,La persona dopo la @ è più veloce di usai bolt#greenscreen #foryoupage #foryou #comic #dragonball #infanzia,"greenscreen, foryoupage, foryou, comic, dragonball, infanzia",10/4/2020
155,247,727,25٫5,11,La persona dopo la@ sarà la tua crush#BulletProof #foryoupage #foryou #comic #ironia #crush,"bulletproof, foryoupage, foryou, comic, ironia, crush",10/3/2020
154٫9,104,246,24,10,La persona dopo la @ ti vuole vêndërë #foryoupage #foryou #comic #ironia,"foryoupage, foryou, comic, ironia",10/3/2020
196٫7,1٫734,29,36٫7,13,se vi va seguitemi su Instagram 🙏🏿🔥#photo #foryoupage #foryou,"photo, foryoupage, foryou",10/2/2020
190٫7,106,526,33٫5,8,La persona dopo la @ ti deve un Kinder bueno #nopressure #foryoupage #foryou #comic #ironia,"nopressure, foryoupage, foryou, comic, ironia",10/2/2020
220٫4,166,277,34٫6,6,La persona dopo la @ aspetta un bambino #foryoupage #foryou #comic #ironia #messico,"foryoupage, foryou, comic, ironia, messico",10/1/2020
217٫2,147,368,35٫4,10,La persona dopo la @ è tua madre #foryoupage #foryou #mamma #comic,"foryoupage, foryou, mamma, comic",10/1/2020
466٫6,1٫116,1٫247,75٫1,14,Qualè il visto gioco preferito?  #foryoupage #console #ps4 #fortnite #xbox,"foryoupage, console, ps4, fortnite, xbox",9/30/2020
503٫3,475,1٫175,71,13,Ditemi che non ero l’unico #fratello #foryou #foryoupage #ironia #infanzia,"fratello, foryou, foryoupage, ironia, infanzia",9/29/2020
357٫7,213,693,53٫3,6,La persona dopo la @ è tuo padre #infanzia #foryou #foryoupage #ironia #comic,"infanzia, foryou, foryoupage, ironia, comic",9/29/2020
405٫7,361,623,45٫4,5,#duetto con @nikkojenkinss tagga due persone per affrontarlo #foryoupage #foryou #comic #ironia,"duetto, foryoupage, foryou, comic, ironia",9/28/2020
190٫9,832,277,28٫7,10,tagga un malato di anime #foryoupage #foryou #comic #anime,"foryoupage, foryou, comic, anime",9/28/2020
520٫1,423,1٫326,84٫9,14,La persona dopo la @ ti deve un iPhone 11 pro #foryoupage #foryou #comic #ios14 #ironia,"foryoupage, foryou, comic, ios14, ironia",9/27/2020
262,161,266,39,5,La persona dopo la @ ti deve la play 5 #foryoupage #ps5 #foryou #comic #ironia #fratellino,"foryoupage, ps5, foryou, comic, ironia, fratellino",9/27/2020
167,180,191,26٫2,11,la persona dopo la @ sarà la tua crush #foryoupage #foryou #comic #ironia #crush,"foryoupage, foryou, comic, ironia, crush",9/27/2020
224٫5,180,444,40٫3,6,Taggate il vostro amico scroccone #foryoupage #foryou #scuola #foryoupage #comic #amico,"foryoupage, foryou, scuola, foryoupage, comic, amico",9/26/2020
209٫2,132,302,38,8,La persona dopo la @ ti deve portare a cena fuori #foryoupage #foryou #comedy #comic #ironia,"foryoupage, foryou, comedy, comic, ironia",9/26/2020
814٫4,613,3٫587,109٫9,11,Tagga il tuo compagno di giochi #ps4 #xbox #comic #foryoupage #foryou #comic,"ps4, xbox, comic, foryoupage, foryou, comic",9/25/2020
418٫1,261,1٫261,76٫9,30,La persona dopo la @ ti nasconde qualcosa #comedy #comic #2020#foryoupage #foryou @morecosmaplease,"comedy, comic, 2020, foryoupage, foryou",9/25/2020
210٫7,75,155,27٫8,6,La persona dopo la @ è uno snitch#comedy #foryou #foryoupage #comic #ironia @6ix9ine,"comedy, foryou, foryoupage, comic, ironia",9/24/2020
230٫9,232,1٫222,34٫8,6,La persona dopo la @ ti deve una saponetta 🧼 #comedy #foryou #ironia #foryoupage #comic,"comedy, foryou, ironia, foryoupage, comic",9/24/2020
162٫5,101,78,25٫7,57,La persona dopo la @ ti deve un favore #comedy #foryou #cimema #foryoupage #comic #esame,"comedy, foryou, cimema, foryoupage, comic, esame",9/23/2020
266٫1,229,728,42٫7,14,La persona dopo la @ ti deve comprare la play 5#foryou ##comedy #ironia #infanzia,"foryou, comedy, ironia, infanzia",9/23/2020
335٫2,192,135,47٫6,9,La persona dopo la @ ti deve regalare qualsiasi cosa #foryou #foryoupage #gamestop #ironia #comedy,"foryou, foryoupage, gamestop, ironia, comedy",9/22/2020
202٫8,329,527,29٫8,7,Questa è per pochi #clonesquad #foryou #foryoupage #anime #uchiha #naruto,"clonesquad, foryou, foryoupage, anime, uchiha, naruto",9/22/2020
176٫1,155,182,26٫4,9,#duetto con @chocolatefatboy #foryoupage #foryou #tiktokamerica #ironia #comedy,"duetto, foryoupage, foryou, tiktokamerica, ironia, comedy",9/22/2020
326٫5,161,189,46٫6,10,La persona dopo la @ è 6ix9ine#foryoupage #foryou #ironia #6ix9nine #comedy,"foryoupage, foryou, ironia, 6ix9nine, comedy",9/21/2020
233٫1,126,203,38٫9,7,La persona dopo la @ è la tua crush #foryoupage #foryou #crush #ironia,"foryoupage, foryou, crush, ironia",9/21/2020
154٫9,202,233,24٫2,15,La persona dopo la @ è deve dare 50 euro ad un senzatetto #foryoupage #foryou #viral #tristeverita #ironia,"foryoupage, foryou, viral, tristeverita, ironia",9/20/2020
893٫5,467,2٫043,127٫2,10,Tagga un amico infognato #foryoupage #foryou #viral #mamma #play,"foryoupage, foryou, viral, mamma, play",9/20/2020
266٫2,296,58,49٫3,24,grazie mille per il traguardo se sono dove sono lo devo soltanto a voi grazie #foryoupage #foryou #500k #viral,"foryoupage, foryou, 500k, viral",9/19/2020
231٫5,167,299,41٫5,17,La persona dopo la la @ ti deve la merenda #clonesquad #foryoupage #foryou #comedy #ironia #viral #asilo,"clonesquad, foryoupage, foryou, comedy, ironia, viral, asilo",9/19/2020
259٫2,159,665,41٫5,8,la persona dopo la @ ti abbonerà quando troverà la ragazza/o #foryoupage #foryou #comedy #ironia #crush,"foryoupage, foryou, comedy, ironia, crush",9/18/2020
307٫9,239,863,52٫4,8,La persona dopo la la @ ti deve una merenda #ironia #ironia #ironia #foryoupage #foryou #viral,"ironia, ironia, ironia, foryoupage, foryou, viral",9/18/2020
"1,100,000",1٫518,5٫343,170,24,La persona dopo la @ è il vostro bidello #nopressure #foryoupage #foryou #bidello #hero #viral #tiktokamerica,"nopressure, foryoupage, foryou, bidello, hero, viral, tiktokamerica",9/17/2020
251٫6,127,608,39٫3,6,Maledetto 2019 perché te ne sei andato #nopressure #2020#covid #incendioaustralia #kobybryant #blackpanther #blacklivesmatter,"nopressure, 2020, covid, incendioaustralia, kobybryant, blackpanther, blacklivesmatter",9/17/2020
219٫8,398,51,36٫7,11,Rispondi a @unpiccolootaku amo i miei tostissimi follower #foryoupage #foryou #follower #tuttiuguali,"foryoupage, foryou, follower, tuttiuguali",9/16/2020
538٫6,574,1٫774,92,15,La persona dopo la @ ti nasconde qualcosa #foryoupage #foryou #comedy #comic #ironia,"foryoupage, foryou, comedy, comic, ironia",9/16/2020
315٫9,144,417,53٫4,9,tagga 3 persone e decidete i ruoli per un colpo #foryoupage #foryou #ironia #comedy #comic,"foryoupage, foryou, ironia, comedy, comic",9/16/2020
159٫8,223,39,23٫9,12,Rispondi a @melaccacristian #foryoupage #foryou #vivogliobene,"foryoupage, foryou, vivogliobene",9/15/2020
571٫5,687,3٫347,108٫8,22,Qualsiasi cosa sia il problema la colpa è del telefono #nopressure #foryoupage #viral  #tiktokamerica #foryou #imparadiverte,"nopressure, foryoupage, viral, tiktokamerica, foryou, imparadiverte",9/15/2020
211٫1,270,188,26٫4,18,#duetto con @france....vs.usa la persona dopo la @ tifava la Francia #foryoupage #viral #foryou #italiafrancia #ironia,"duetto, foryoupage, viral, foryou, italiafrancia, ironia",9/15/2020
328٫4,440,574,53٫6,15,La persona dopo la @ è salvini#greenscreen #salvini #foryoupage #foryou #comedy #autoironia,"greenscreen, salvini, foryoupage, foryou, comedy, autoironia",9/14/2020
368٫9,379,1٫946,68٫4,10,Ci assomigliamo io e mio fratello?#achiassomiglio #salvini #foryoupage #foryou #comedy #ironia,"achiassomiglio, salvini, foryoupage, foryou, comedy, ironia",9/14/2020
148٫7,74,349,22٫2,11,Per mio nonno sono dio #foryoupage #foryou #comedy #ironia #nonno,"foryoupage, foryou, comedy, ironia, nonno",9/14/2020
145٫4,49,60,18٫8,5,#duetto con @jcc_art #foryoupage #foryou #dragonball #fanart grazie di cuore 🙏🏿🔥,"duetto, foryoupage, foryou, dragonball, fanart",9/13/2020
229,177,1٫881,39٫4,12,Tutti abbiamo un amico che non si sa trattenere #foryoupage #foryou #comedy #ironia #amico,"foryoupage, foryou, comedy, ironia, amico",9/13/2020
559٫2,594,2٫19,90٫2,7,La persona dopo la@ ti deve pagare la spesa #foryoupage #foryou #comedy #spesa #mamma,"foryoupage, foryou, comedy, spesa, mamma",9/13/2020
288٫3,573,333,44٫4,14,Che ne dite voi @trvisxxofficial @50cent #foryoupage #foryou #comedy #ironia #trap #rap,"foryoupage, foryou, comedy, ironia, trap, rap",9/12/2020
171٫2,109,119,25٫4,10,Non è andata bene #foryoupage #trend #foryou #comedy @youngdudu0,"foryoupage, trend, foryou, comedy",9/12/2020
176٫8,221,184,32٫3,13,Non sono l’unico ne sono sicuro #nopressure #amici #foryoupage #foryou #comedy #denti,"nopressure, amici, foryoupage, foryou, comedy, denti",9/12/2020
242٫1,355,222,33٫9,12,Non voglio criticare nessuno forse non lo capito io questo trend #foryoupage #foryou #trend @il_tre,"foryoupage, foryou, trend",9/11/2020
"1,100,000",991,6٫152,153٫7,32,Tagga un player #foryoupage #foryou #comedy #comic #console #ps4 credit@mikeoofs,"foryoupage, foryou, comedy, comic, console, ps4",9/11/2020
290٫2,209,729,47٫4,10,La persona dopo la la @ dovrà dormire in una casa infestata con te #foryoupage #foryou #comedy #comic #horror,"foryoupage, foryou, comedy, comic, horror",9/10/2020
382٫7,245,1٫417,57٫8,7,Vi è mai capitato?#foryoupage #foryou #comedy #comic #mamma,"foryoupage, foryou, comedy, comic, mamma",9/10/2020
306٫1,235,1٫007,42٫5,5,La persona dopo la @ dovrà mettersi una supposta #foryoupage #foryou #comedy #comic #ironia,"foryoupage, foryou, comedy, comic, ironia",9/9/2020
210٫2,108,217,35٫4,15,La persona dopo la la @ sarà il tuo prof #foryoupage #foryou #checcozalone #ironia #comedy,"foryoupage, foryou, checcozalone, ironia, comedy",9/9/2020
712٫3,494,2٫215,109٫5,10,Tagga un tuo amico silenzioso #foryoupage #foryou #comedy #ironia #comic,"foryoupage, foryou, comedy, ironia, comic",9/9/2020
831٫3,756,442,118٫5,14,La persona dopo la @ ti deve fare un regalo da Gucci #gucci #foryoupage #foryou #viral #trattodaunastoriavera,"gucci, foryoupage, foryou, viral, trattodaunastoriavera",9/8/2020
261٫1,542,132,45٫3,11,Io sono con te bro #willymonteiro #foryoupage #foryou #viral #blacklivesmatter,"willymonteiro, foryoupage, foryou, viral, blacklivesmatter",9/8/2020
254٫2,119,264,44٫4,13,La persona dopo la @ ti tradirà #foryoupage #foryou #comedy #comic #ironia #crush,"foryoupage, foryou, comedy, comic, ironia, crush",9/8/2020
21٫1,86,33,4٫522,13,#duetto con @hassanverinov #foryoupage #foryou #comedy,"duetto, foryoupage, foryou, comedy",9/7/2020
220٫5,277,233,37٫5,17,Nike o Adidas scannatevi nei commenti #nike #adidas #foryoupage #foryou #comedy #comic #ironia,"nike, adidas, foryoupage, foryou, comedy, comic, ironia",9/7/2020
650٫1,1٫236,655,48,9,Ringraziatemi dopo #foryoupage #foryou #ironia #comedy,"foryoupage, foryou, ironia, comedy",9/7/2020
168٫4,60,162,23٫5,7,Vi è mai capitato #foryoupage #foryou #ironia #comedy #comic,"foryoupage, foryou, ironia, comedy, comic",9/7/2020
248٫4,315,321,44٫5,15,La persona dopo la @ è peggio di lui #foryoupage #foryou #comic #comedy #yamcha #dragonball,"foryoupage, foryou, comic, comedy, yamcha, dragonball",9/6/2020
141٫5,127,72,20٫6,15,Spero un giorno di fare un evento e di incontrarvi tutti #greenscreen #foryoupage #foryou #fan,"greenscreen, foryoupage, foryou, fan",9/6/2020
202٫8,82,126,34٫2,11,Ditemi che pure vostra madre è così ahahah#mamma #foryoupage #foryou #comic #comedy,"mamma, foryoupage, foryou, comic, comedy",9/6/2020
570٫4,680,2٫651,80٫7,15,Tagga un bestemmiatore #nopressure #foryoupage #foryou #comic #ironia,"nopressure, foryoupage, foryou, comic, ironia",9/5/2020
706٫6,3٫24,2٫024,147٫9,9,La persona dopo la @ è il vostro prof #foryoupage #foryou #comic #comedy #prof,"foryoupage, foryou, comic, comedy, prof",9/5/2020
236٫6,127,532,35٫5,15,La persona dopo la la @ scapperà in Messico #foryoupage #foryou #comic #comedy #messico #viral,"foryoupage, foryou, comic, comedy, messico, viral",9/5/2020
423٫7,329,202,77,15,la persona dopo la la @ è peggio di lanterna verde#marvel #foryoupage #foryou #comic #comedy #viral,"marvel, foryoupage, foryou, comic, comedy, viral",9/4/2020
220٫6,346,1٫588,38٫5,13,Tagga una ragazza complicata #foryoupage #foryou #comic #ragazze #comedy,"foryoupage, foryou, comic, ragazze, comedy",9/4/2020
331٫8,200,1٫631,54٫5,13,tagga una persona che vuole sempre uscire sempre #foryoupage #foryou #comic #viral #comedy,"foryoupage, foryou, comic, viral, comedy",9/3/2020
231٫1,326,684,39٫6,11,Ditemi che non ero l’unico #foryoupage #foryou #comic #dragonball #viral,"foryoupage, foryou, comic, dragonball, viral",9/3/2020
160٫3,74,185,20٫8,19,#duetto con @anna.laura.sao #foryoupage #foryou #comic #comedy #ironia #tiktok #duetto,"duetto, foryoupage, foryou, comic, comedy, ironia, tiktok, duetto",9/2/2020
367٫1,248,465,51٫6,9,La persona dopo la @ ti tradirà #foryoupage #foryou #comic #comedy #trend,"foryoupage, foryou, comic, comedy, trend",9/2/2020
313٫8,158,299,49٫9,13,#foryoupage #foryou #comic #comedy,"foryoupage, foryou, comic, comedy",9/1/2020
188٫9,169,731,27٫1,7,La persona dopo la @ finirà in cantina #foryoupage #foryou #comic #ironia #tiktok,"foryoupage, foryou, comic, ironia, tiktok",9/1/2020
266,181,327,39٫2,13,La persona dopo la la @ è tuo padre #foryoupage #foryou #comic #comedy #ironia,"foryoupage, foryou, comic, comedy, ironia",9/1/2020
493٫7,241,575,73٫2,24,Dovevo per forza duettarlo merita #duetto con @rita.queenj #foryoupage #foryou #rapgod #eminem,"duetto, foryoupage, foryou, rapgod, eminem",8/31/2020
280٫5,424,153,42٫1,13,Tagga una persona timida #foryoupage #foryou #comic #comedy#tiktok,"foryoupage, foryou, comic, comedy, tiktok",8/31/2020
481,206,683,67٫5,14,Cosa ci aspetterà ancora questo 2020?#foryoupage #foryou #comic #ironia #2020#covid #incendiosenaustralia #blackpanther #blacklivesmatter,"foryoupage, foryou, comic, ironia, 2020, covid, incendiosenaustralia, blackpanther, blacklivesmatter",8/31/2020
"1,100,000",1٫827,5٫235,156٫2,29,Tagga una persona che lo guardava #ritornoalpassato #greenscreen #infanzia #foryoupage #foryou #comic #dragonball,"ritornoalpassato, greenscreen, infanzia, foryoupage, foryou, comic, dragonball",8/30/2020
894٫8,1٫436,1٫261,149٫2,15,La persona dopo la @ è la tua prof di inglese #foryoupage #foryou #ironia #comic #comedy #profinglese,"foryoupage, foryou, ironia, comic, comedy, profinglese",8/30/2020
239,392,195,36٫3,15,Tagga una persona a qui tieni #foryoupage #foryou #ironia #comic #comedy,"foryoupage, foryou, ironia, comic, comedy",8/29/2020
275٫9,823,374,54٫3,11,"Eri il mio preferito riposa in pace , maledetto cancro #foryoupage #foryou #blackphanter","foryoupage, foryou, blackphanter",8/29/2020
771٫6,480,1٫801,120٫1,13,Taggate i vostri compagni #foryoupage #foryou #ironia #comic #comedy,"foryoupage, foryou, ironia, comic, comedy",8/29/2020
991٫4,547,74,79٫7,8,Che telefono avete #comedy #foryoupage #foryou #comedy #ironia #foryou,"comedy, foryoupage, foryou, comedy, ironia, foryou",8/28/2020
153٫5,124,144,23٫5,15,La persona dopo la è tutto fratellino#foryoupage #foryou #comic #comedy #ironia,"foryoupage, foryou, comic, comedy, ironia",8/28/2020
"2,000,000",1٫389,10٫1,248٫7,15,La persona dopo la @ avrà un figlio domani #nopressure #clonesquad #funny #foryoupage #foryou #comic #comedy #asilo,"nopressure, clonesquad, funny, foryoupage, foryou, comic, comedy, asilo",8/27/2020
551٫1,351,510,88٫1,14,Le persone dopo la @ è un ladro #nopressure #foryoupage #foryou #comic #mamma,"nopressure, foryoupage, foryou, comic, mamma",8/27/2020
154٫5,50,24,18٫5,14,Bravo soldato hahah##foryoupage #foryou #comic #soldato @johnscotti05,"foryoupage, foryou, comic, soldato",8/26/2020
409٫3,288,1٫598,57٫6,8,Taggate un vostro amico ner0#autoironia #foryoupage #comic #comedy #ironia #scuola,"autoironia, foryoupage, comic, comedy, ironia, scuola",8/26/2020
556٫2,261,1٫87,85,15,Tagga un player #nopressure #foryoupage #comic #comedy #ironia #duetto #online #gaming,"nopressure, foryoupage, comic, comedy, ironia, duetto, online, gaming",8/26/2020
243٫3,80,143,37٫8,10,Sono sicuro che lo avete fatto almeno una volta #scuola #foryoupage #foryou #comic #infanzia #comedy,"scuola, foryoupage, foryou, comic, infanzia, comedy",8/25/2020
255٫6,1٫275,254,43٫9,9,Ditemi che non ero l’unico folle #nopressure #foryoupage #comic #duetto #comedy #infanzia,"nopressure, foryoupage, comic, duetto, comedy, infanzia",8/25/2020
140٫5,47,153,18٫9,8,Adoro 😍#duetto con @jcc_art #foryoupage #foryou #fanart,"duetto, foryoupage, foryou, fanart",8/24/2020
558٫3,343,766,65٫9,10,La persona dopo la @ è tua madre #foryoupage #foryou #comic #mamma #comedy,"foryoupage, foryou, comic, mamma, comedy",8/24/2020
328٫8,224,477,51٫8,10,tagga un tuo compagno di classe #greenscreen #nopressure #foryoupage #foryou #comic #ironia #scuola,"greenscreen, nopressure, foryoupage, foryou, comic, ironia, scuola",8/24/2020
208٫6,168,118,29٫5,11,#duetto con @alexahcagle #greenscreen #foryoupage #foryou #comic #ironia,"duetto, greenscreen, foryoupage, foryou, comic, ironia",8/23/2020
187٫7,157,268,28٫1,15,Tagga un amico che ha passato tutta la quarantina su tiktok #greenscreen #foryoupage #foryou #comic #ironia,"greenscreen, foryoupage, foryou, comic, ironia",8/23/2020
506٫3,4٫606,101,86٫4,15,La persona dopo la @ è tua sorella #foryoupage #foryou #comic #ironia #italia,"foryoupage, foryou, comic, ironia, italia",8/22/2020
178,230,1٫395,28٫9,13,Ho tolto il video precedente perché era troppo cattivo #comeeravamo #foryoupage #foryou #comic #ironia #comedia,"comeeravamo, foryoupage, foryou, comic, ironia, comedia",8/21/2020
479,297,639,58٫9,12,Che nome daresti a tuo figlio #nopressure #foryoupage #foryou #comic #vegeta#ironia #ironia,"nopressure, foryoupage, foryou, comic, vegeta, ironia, ironia",8/21/2020
260٫5,857,101,35٫6,11,Grazie mille a tutti❤️ #greenscreen #foryoupage #foryou #comic #400k,"greenscreen, foryoupage, foryou, comic, 400k",8/20/2020
234,148,183,33,10,La persona dopo la @ è tua madre #foryoupage #foryou #comic #comedy #ironia #mamma,"foryoupage, foryou, comic, comedy, ironia, mamma",8/20/2020
218٫3,143,740,38٫2,11,Grazie per l’idea @_kaneva17 #foryoupage #foryou #comic #comedy #ironia #noncenecoviddi,"foryoupage, foryou, comic, comedy, ironia, noncenecoviddi",8/20/2020
475٫8,161,914,68٫8,15,Grazie per l’aiuto bro @locoxx_pk #foryoupage #foryou #comic #comedy #parkour #ironia,"foryoupage, foryou, comic, comedy, parkour, ironia",8/19/2020
405٫1,713,892,54,14,Quali siete tra i tre #foryoupage #foryou #comic #comedy #comic #tosto,"foryoupage, foryou, comic, comedy, comic, tosto",8/19/2020
181٫5,335,58,22٫9,7,Rispondi a @a_quick_v1t0 #blacklivesmatter #noalrazzismo #foryoupage,"blacklivesmatter, noalrazzismo, foryoupage",8/18/2020
637٫1,258,372,76٫1,15,la persona dopo la @ ti deve offrire qualcosa al bar #foryoupage #foryou #comic #duetto #comic #ironia,"foryoupage, foryou, comic, duetto, comic, ironia",8/18/2020
"1,200,000",425,3٫651,134٫5,8,Tagga quell’ amico che è sempre senza mascherina #nopressure #mascherina #noncenecoviddi #foryoupage #foryou #comic,"nopressure, mascherina, noncenecoviddi, foryoupage, foryou, comic",8/18/2020
394٫7,266,167,47٫1,13,Gg bro ❤️#duetto con @alfrenius,duetto,8/17/2020
226٫9,173,291,41٫2,24,La persona dopo la @ ti nasconde qualcosa #fumagalli #amedeopreziosi #foryoupage #foryou #comic #comedy,"fumagalli, amedeopreziosi, foryoupage, foryou, comic, comedy",8/17/2020
140٫9,269,218,17٫9,7,La persona dopo la @ ti sta pensando #foryoupage #foryou #comic #comedy #trend,"foryoupage, foryou, comic, comedy, trend",8/17/2020
108٫5,155,130,13٫2,15,La persona dopo la @ ti deve il MC #foryoupage #foryou #comic #comedy #ironia,"foryoupage, foryou, comic, comedy, ironia",8/17/2020
216,203,1٫8,35٫6,12,tagga chi vuoi tu #crush #duetto #foryoupage #foryou #comic #comedy,"crush, duetto, foryoupage, foryou, comic, comedy",8/16/2020
"1,800,000",6٫472,6٫291,222٫6,15,La persona dopo la @ è xxxtentacion#foryoupage #foryou #comic #comedy #ironia,"foryoupage, foryou, comic, comedy, ironia",8/16/2020
485٫5,1٫797,3٫127,93٫1,10,Tagga una persona che gioca a fortnite #fortnite #foryoupage #comic #comedy #infanziarovinata,"fortnite, foryoupage, comic, comedy, infanziarovinata",8/16/2020
"1,100,000",3٫3,979,185٫9,15,La persona dopo la @ è travis Scott #comedy #ironia #foryoupage #comic #foryou,"comedy, ironia, foryoupage, comic, foryou",8/15/2020
"3,300,000",2٫874,11٫7,361٫7,9,E niente volevo farlo #ironia #comedy #foryoupage #comic #trend #foryou,"ironia, comedy, foryoupage, comic, trend, foryou",8/15/2020
169٫8,78,279,23٫1,8,La prima che non si scorda mai tagga un tuo amico che a me le scarpe #jordan #comedy #ironia #foryoupage #foryou #comic,"jordan, comedy, ironia, foryoupage, foryou, comic",8/15/2020
920٫4,710,3٫557,136٫5,12,La persona dopo la @ è la tua prof #prof #profdiinglese #ironia #comedy #foryou #foryoupage,"prof, profdiinglese, ironia, comedy, foryou, foryoupage",8/14/2020
168٫8,234,169,27٫7,12,La persona dopo la @ è un eroe #foryoupage #comic #ironia #comedy #trend,"foryoupage, comic, ironia, comedy, trend",8/14/2020
670٫6,984,712,101,9,Ditemi che non ero l’unico #foryoupage #comic #ironia #comedy #foryou #infanzia,"foryoupage, comic, ironia, comedy, foryou, infanzia",8/13/2020
474٫5,310,424,77٫7,20,Vi prego capitela #duetto con @low.qyo #foryoupage #comic #ironia #comedy #foryou,"duetto, foryoupage, comic, ironia, comedy, foryou",8/13/2020
170,100,94,28٫7,10,taggate quell’amico che spoilera sempre #spoiler #foryoupage #duetto #foryou #ironia #comic,"spoiler, foryoupage, duetto, foryou, ironia, comic",8/13/2020
407٫5,146,426,60٫2,13,#duetto con @thenobleking epico dovevo per forza duettare #duetto #foryoupage #foryou,"duetto, duetto, foryoupage, foryou",8/12/2020
499٫6,473,1٫452,81٫7,8,Non è andato come volevo #comic #foryoupage #ironia #foryou #trend,"comic, foryoupage, ironia, foryou, trend",8/12/2020
421٫1,435,1٫199,69٫3,14,La terza persona dopo la @ ti deve portare in vacanza #comic #foryoupage #ironia #6ix9ine #comedy,"comic, foryoupage, ironia, 6ix9ine, comedy",8/12/2020
156٫3,61,16,21٫9,7,Aaaaaaaa la gente incoerente #pena #foryoupage #comic,"pena, foryoupage, comic",8/11/2020
401٫6,184,283,53,10,Maledetti professori #foryoupage #professori #comic #comedy #comic,"foryoupage, professori, comic, comedy, comic",8/11/2020
317,137,481,47٫7,8,Tagga un persona che indossa le Jordan #nopressure #jordan #foryoupage #comic #ironia #comedy #jordan,"nopressure, jordan, foryoupage, comic, ironia, comedy, jordan",8/11/2020
